Event	ID	Name			Wwise Object Path	Notes
	421083672	OnDeadEvent			\Default Work Unit\OnDeadEvent	
	953277036	Resume			\Default Work Unit\Resume	
	1281810935	Start			\Default Work Unit\Start	
	1486520697	ScoreIncrease			\Default Work Unit\ScoreIncrease	
	2389703494	Boost			\Default Work Unit\Boost	
	3092587493	Pause			\Default Work Unit\Pause	
	3675724169	ScoreDecrease			\Default Work Unit\ScoreDecrease	
	4158285989	GameOver			\Default Work Unit\GameOver	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	13108613	EXPLDsgn_Explosion Stylized Blob 3	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\EXPLDsgn_Explosion Stylized Blob 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Socre_Decrease_Explosion\EXPLDsgn_Explosion Stylized Blob 3		572832
	21634795	ScoreDecrease_Voice 1	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\ScoreDecrease_Voice 1_9C249D30.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Negative\ScoreDecrease_Voice 1		126724
	32904743	Voices-001	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Voices-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Positive\Voices-001		166684
	35623045	Part 3	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Part 3_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Level_1\Part 3\Part 3		4835652
	56157022	ScoreDecrease_Voice 5	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\ScoreDecrease_Voice 5_85BFC74B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Negative\ScoreDecrease_Voice 5		254484
	78419698	ScoreDecrease_Voice 4	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\ScoreDecrease_Voice 4_2C1535CF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Negative\ScoreDecrease_Voice 4		247788
	107166575	EXPLDsgn_Explosion Stylized Blob 4	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\EXPLDsgn_Explosion Stylized Blob 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Socre_Decrease_Explosion\EXPLDsgn_Explosion Stylized Blob 4		378996
	138282282	Eating_Blob 4	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Eating_Blob 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Score_Increase\Eating_Blob 4		140896
	139915654	Eating_Blob 1	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Eating_Blob 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Score_Increase\Eating_Blob 1		140896
	140830429	ScoreDecrease_Voice 8	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\ScoreDecrease_Voice 8_634BD279.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Negative\ScoreDecrease_Voice 8		241092
